date,S. No.,open,high,low,close,adjusted close,volume,dividend amount,split cf
2021-02-26,190,122.25,122.25,118.88,118.93,109.6536987,8868848,0,1
2021-02-25,191,123.37,124.35,122.335,122.47,112.9175858,5672671,0,1
2021-02-24,192,120.8,123.49,120.52,123.21,113.5998673,5819983,0,1
2021-02-23,193,120.92,121.35,119.8,120.71,111.2948622,4531464,0,1
2021-02-22,194,118.5,121.125,118.44,120.86,111.4331625,5838841,0,1
2021-02-19,195,120.75,120.76,118.38,118.99,109.7090188,6578741,0,1
2021-02-18,196,120.5,120.94,119.7,120.73,111.3133023,5399145,0,1
2021-02-17,197,119.27,120.56,119.02,119.97,110.6125808,3949876,0,1
2021-02-16,198,120.15,120.6,119.36,120.07,110.704781,6639790,0,1
2021-02-12,199,121,121.36,120.09,120.8,111.3778424,3871195,0,1
2021-02-11,200,122,122.205,120.63,120.91,111.4792626,5381556,0,1
2021-02-10,201,123.03,123.41,121.2138,122.24,112.7055253,4831858,0,1
2021-02-09,202,121.9,122.5953,121.05,122.1,112.576445,4661655,1.63,1
2021-02-08,203,122.62,123.9767,122.4,123.61,112.4672624,5887999,0,1
2021-02-05,204,121,121.81,120.52,121.79,110.811325,4565727,0,1
2021-02-04,205,119.91,121.1,118.87,121.02,110.1107361,4562124,0,1
2021-02-03,206,119.04,119.8,118.12,119.12,108.3820103,6715366,0,1
2021-02-02,207,119.36,121,119.28,119.44,108.6731641,6311881,0,1
2021-02-01,208,119.9,120.95,118.73,120.54,109.6740054,6250508,0,1
2021-01-29,209,120.22,121.3,118.9,119.11,108.3729117,11825496,0,1
2021-01-28,210,122.8,123.2,120.07,120.08,109.2554718,8084051,0,1
2021-01-27,211,122.08,124.79,121.6214,122.47,111.4300269,12146541,0,1
2021-01-26,212,119.18,122.59,118.42,122.49,111.448224,10694708,0,1
2021-01-25,213,118.7624,119.538,117.45,118.58,107.8906882,13686391,0,1
2021-01-22,214,120.7,120.7,117.36,118.61,107.9179839,38063533,0,1
2021-01-21,215,130.12,132.24,130.05,131.65,119.7825021,12819233,0,1
2021-01-20,216,129.7,131.06,128.56,130.08,118.3540287,5598705,0,1
2021-01-19,217,129.28,129.59,128.0885,129.02,117.3895817,5397956,0,1
2021-01-15,218,128.28,129.24,127.67,128.39,116.8163726,4905506,0,1
2021-01-14,219,128.02,130.16,127.55,128.97,117.3440889,7503180,0,1
2021-01-13,220,129.15,129.75,126.455,126.92,115.4788847,7677739,0,1
2021-01-12,221,129.09,129.85,127.94,129.21,117.5624542,3729068,0,1
2021-01-11,222,127.95,129.675,127.66,128.58,116.9892452,5602466,0,1
2021-01-08,223,128.57,129.32,126.98,128.53,116.9437524,4676487,0,1
2021-01-07,224,130.04,130.46,128.26,128.99,117.362286,4507382,0,1
2021-01-06,225,126.9,131.88,126.72,129.29,117.6352427,7956740,0,1
2021-01-05,226,125.01,126.68,124.61,126.14,114.7691973,6114619,0,1
2021-01-04,227,125.85,125.9174,123.04,123.94,112.7675147,5179161,0,1
2020-12-31,228,124.22,126.03,123.99,125.88,114.5326348,3574696,0,1
2020-12-30,229,123.8,124.85,123.63,124.34,113.131457,3380494,0,1
2020-12-29,230,125.35,125.48,123.24,123.8,112.6401349,3487007,0,1
2020-12-28,231,125.1,126.6,124.46,124.82,113.5681877,3583222,0,1
2020-12-24,232,125,125.1,124.21,124.69,113.4499065,1761122,0,1
2020-12-23,233,123.88,125.21,123.74,123.9,112.7311205,2693889,0,1
2020-12-22,234,123.31,124.22,122.41,123.61,112.4672624,4337757,0,1
2020-12-21,235,123.97,124.18,121.72,123.39,112.2670941,6115671,0,1
2020-12-18,236,125.59,126.4,124.97,125.85,114.5053391,7552845,0,1
2020-12-17,237,126.08,126.09,124.91,125.55,114.2323824,3787962,0,1
2020-12-16,238,125.93,126.5728,125.286,125.55,114.2323824,4530096,0,1
2020-12-15,239,124.39,125.93,123.44,125.93,114.5781276,4359601,0,1
2020-12-14,240,125.32,126.2435,123.47,123.53,112.3944739,5050023,0,1
2020-12-11,241,124.08,125.51,123.61,124.27,113.0677671,4481416,0,1
2020-12-10,242,126.35,126.93,124.94,124.96,113.6955675,4803172,0,1
2020-12-09,243,125.8,127.69,125.7,126.79,115.3606035,6513517,0,1
2020-12-08,244,125.32,126.33,124.64,125.71,114.3779593,5395024,0,1
2020-12-07,245,126.49,126.97,124.57,124.7,113.4590051,8318500,0,1
2020-12-04,246,123.97,127.38,123.64,127.2,115.7336443,5522760,0,1
2020-12-03,247,124.16,124.86,123.29,123.61,112.4672624,4548161,0,1
2020-12-02,248,122.85,124.64,122.41,124.62,113.3862166,3690737,0,1
2020-12-01,249,123.9,125.83,123.08,123.16,112.0578273,5099334,0,1
2020-11-30,250,124.1,125,123.09,123.52,112.3853753,5987991,0,1
2020-11-27,251,124.2,125.313,123.91,124.35,113.1405556,2091186,0,1
2020-11-25,252,122.93,124.33,122.11,124.2,113.0040772,4135894,0,1
2020-11-24,253,120.86,124.73,120.805,124.42,113.2042455,7535949,0,1
2020-11-23,254,117.43,120.515,117.27,120.09,109.2645703,5655119,0,1
2020-11-20,255,117.6,118.04,116.69,116.94,106.3985249,5024593,0,1
2020-11-19,256,116.54,117.45,115.89,117.18,106.6168902,3439648,0,1
2020-11-18,257,117.72,118.88,116.75,116.77,106.2438494,4606828,0,1
2020-11-17,258,117.6,118.54,117.07,117.7,107.0900152,4134455,0,1
2020-11-16,259,118.3,118.55,117.12,118.36,107.69052,5293385,0,1
2020-11-13,260,115.19,117.37,115.01,116.85,106.3166379,4683512,0,1
2020-11-12,261,115.63,116.37,113.48,114.5,104.178477,6500799,0,1
2020-11-11,262,118.12,118.35,116.22,117.2,106.6350874,4289601,0,1
2020-11-10,263,116.69,118.17,116.25,117.91,107.2810849,5622756,0,1
2020-11-09,264,117.88,119.74,115.27,115.53,105.1156283,8992152,1.63,1
2020-11-06,265,115.08,115.1,113.39,114.04,102.316373,5249171,0,1
2020-11-05,266,113.3,115.29,113.01,114.77,102.9713269,4902206,0,1
2020-11-04,267,112.33,113.91,111.16,111.9,100.3963709,5800071,0,1
2020-11-03,268,114,115.65,113.63,114.16,102.4240366,4204287,0,1
2020-11-02,269,112.65,113.8265,112.25,112.91,101.3025401,5311497,0,1
2020-10-30,270,107.9,111.8,107.75,111.66,100.1810435,7923882,0,1
2020-10-29,271,107.25,109.64,106.55,108.91,97.71375113,6760241,0,1
2020-10-28,272,108.66,109.73,105.92,106.65,95.68608538,9427321,0,1
2020-10-27,273,112.15,112.22,110.03,110.56,99.19412657,5936106,0,1
2020-10-26,274,114.45,114.9,111.84,112.22,100.683474,7203366,0,1
2020-10-23,275,116.5,116.62,115.53,116,104.0748795,3893362,0,1
2020-10-22,276,115,116.06,112.98,115.76,103.8595522,7858158,0,1
2020-10-21,277,116.66,117.6899,114.79,115.06,103.2315141,9755308,0,1
2020-10-20,278,119.8,120.15,116.84,117.37,105.3040398,21501073,0,1
2020-10-19,279,126.8,127.35,125.08,125.52,112.6161972,7478735,0,1
2020-10-16,280,125.17,126.43,124.655,125.93,112.9840481,4714320,0,1
2020-10-15,281,124.08,125.215,123.85,124.89,112.050963,3389301,0,1
2020-10-14,282,125.13,126.94,125.13,125.94,112.9930201,3730139,0,1
2020-10-13,283,126.57,127.15,124.46,125.1,112.2393744,5406088,0,1
2020-10-12,284,128.07,128.25,126.44,127.21,114.1324606,4635115,0,1
2020-10-09,285,132,132,127.6,127.79,114.652835,8353704,0,1
2020-10-08,286,130.86,135.5,129.77,131.49,117.9724648,25288926,0,1
2020-10-07,287,122.67,124.39,122.32,124.07,111.3152613,2815663,0,1
2020-10-06,288,122.58,124.83,121.59,121.97,109.4311471,3872265,0,1
2020-10-05,289,121.84,122.75,121.05,122.01,109.4670349,3050949,0,1
2020-10-02,290,119.04,121.75,118.82,120.57,108.1750709,2925228,0,1
2020-10-01,291,122.36,123.3,120.355,121.09,108.6416135,3211661,0,1
2020-09-30,292,121.38,122.91,120.8,121.67,109.1619879,3261235,0,1
2020-09-29,293,121.41,122.1858,120.21,120.94,108.5070339,2130564,0,1
2020-09-28,294,120.57,122.33,120.41,121.73,109.2158197,3509576,0,1
2020-09-25,295,117.6,119.41,116.94,118.95,106.7216114,2953686,0,1
2020-09-24,296,118.1,119.515,116.48,118.09,105.9500218,3546160,0,1
2020-09-23,297,120.8,121.59,118.43,118.83,106.6139477,3939398,0,1
2020-09-22,298,120.33,121.45,119.53,120.51,108.1212391,2957809,0,1
2020-09-21,299,120.48,120.7,118.58,120.25,107.8879678,5311441,0,1
2020-09-18,300,124.26,124.92,122.65,122.76,110.1399329,5391570,0,1
2020-09-17,301,122.62,125.55,121.97,124.92,112.0778789,3171262,0,1
2020-09-16,302,122.71,125.82,122.71,124.22,111.4498408,3789458,0,1
2020-09-15,303,122.82,123.4,122.24,122.44,109.8528298,2915221,0,1
2020-09-14,304,122.36,123.38,121.76,122.09,109.5388107,3641887,0,1
2020-09-11,305,121.39,122.7,120.73,121.46,108.9735765,3548091,0,1
